rank,title,synopsis,cover_image_url,rating,chapters,published_date,tags,link
163,Plaything,"Lee Myung-jun, the Vice Chairman of Hyun-do Group, lost his daughter to a group of bullies. Seeking revenge, he adopts Yoon Karma, a psychopathic defector girl. Yoon Karma: A sadistic human weapon created through drug experiments in North Korea. After killing everyone in the research lab, she escaped to South Korea on her own.Having just been released from a juvenile detention center in South Korea, Yoon Karma sets out to hunt down the bullies at school, driven by the desire to avenge her new father and satisfy her sadistic pleasures.(Source: Naver Corporation, translated)",https://cdn.myanimelist.net/images/manga/3/311035.jpg,7.82,Unknown,"Apr  22, 2024 to ?","Suspense, Psychological, School",https://myanimelist.net/manga/173942/Plaything
164,Special Civil Servant,"After failing the Grade Nine civil service exam four times and many twists and turns, Han Maru finally succeeded in becoming a special civil servant under the Ministry of Environment. Goodbye, gosiwon! Goodbye, convenience store lunchboxes! But the joy of passing was short-lived. It turned out to be a life-threatening national secret job?! Along with the yellow dust came the demons, creatures that kill and eat humans. The Grade 9 special civil servant job involved waging war against these demons! Han Maru's life-threatening civil service career begins.(Source: Naver Corporation, translated)",https://cdn.myanimelist.net/images/manga/1/314374.jpg,7.82,Unknown,"Jun  5, 2024 to ?","Action, Fantasy, Adult Cast, Urban Fantasy",https://myanimelist.net/manga/176032/Special_Civil_Servant
165,My Kitty and Old Dog,"My Kitty and Old Dogis a collection of short, heartwarming, and episodic stories that describe the relationships between the old poodle Nang-nak, the cute kitten Soondae, and their loving owners. Some stories are autobiographical—telling the artist's own experience with his pets—while others are told from the pets' point of view in an interesting, fresh, and innocent take on storytelling.",https://cdn.myanimelist.net/images/manga/3/77513.jpg,7.82,215,"Apr  5, 2011 to Jan  15, 2013","Drama, Slice of Life, Memoir, Pets",https://myanimelist.net/manga/43975/My_Kitty_and_Old_Dog
166,Medical Return,"Kim Jihyun, who lived his life as a disreputable surgeon, gains a second chance to relive his life. He then goes back to his middle school days, and live his life to the fullest unlike before, he studies nonstop. His goal is to become a dermatologist who make lots of money instead of the poor surgeon he was from previous life!(Source: Kakao Entertainment Corp., translaetd)",https://cdn.myanimelist.net/images/manga/1/264301.jpg,7.82,150,"Sep  7, 2019 to Jan  28, 2022","Drama, Medical, Time Travel",https://myanimelist.net/manga/147069/Medical_Return
167,My Blasted Reincarnated Life,"The warrior Hamel went on an adventure with his companions to defeat the Demon Kings, but after dying just before the final battle with the Demon Kings...""Waaah.""""What the fuck!""He was reincarnated as the descendant of his fellow warrior, Vermouth.Hamel—no, Eugene Lionheart was reborn with the blood of the Great Vermouth.""My previous body held enough talent to be mistaken for a genius, but this one... there's just no comparison.""With a body that had higher specs right from the start, he showed explosive growth that far surpassed what he had achieved in his previous life. Along with the unknown reasons for his reincarnation came the uneasy reality of having to coexist with demons. He was faced with a world that made him question everything he had believed in. Gifted with this extraordinary body since birth, as Eugene, he begins walking down the unfinished path from his previous life.(Source: KW Books, translated)",https://cdn.myanimelist.net/images/manga/1/265119.jpg,7.82,Unknown,"Jun  22, 2022 to ?","Action, Fantasy, Reincarnation",https://myanimelist.net/manga/149438/My_Blasted_Reincarnated_Life
168,Revelation of Youth,"A close and dangerous cohabitation with the cult leader's son has begun!Chungah was swindled by her uncle who she trusted and her parents disappeared, saying they were chasing their missing uncle, and Chungah suddenly lives alone in an empty house. But it wasn't just Chungah's family that was scammed! The biggest cult in the autonomous district, ""Millennium Adventist,"" was also deceived by her uncle. And Yohan, the son of the cult leader, came to Chung-ah's house. He's dragging his luggage in...! God, is this cohabitation gonna be okay?(Source: Naver Corporation, translated)",https://cdn.myanimelist.net/images/manga/2/272489.jpg,7.82,Unknown,"Nov  5, 2022 to ?","Romance, School",https://myanimelist.net/manga/153650/Revelation_of_Youth
169,Not Your Typical Reincarnation Story,"Choi Suna once enjoyed the familiar plot of a novel following Rhyse Sinclair—the virtuous ward of the prominent Rudwick family—who is entangled in a love triangle with the Rudwick sons. The elder Cliff becomes her main love interest, while the younger Killian remains lovelorn forevermore, trapped in a loveless marriage with the vile Edith Rigelhof from an opposing family. Seductive and cunning, Edith is a textbook villainess destined to die at Killian's hands after relentlessly tormenting Rhyse and serving as a spy for the Rigelhofs.When Suna unexpectedly reincarnates as Edith, she finds her new life all too similar to her own abusive past. Determined to change Edith's fate and live, Suna swears off villainy and refuses to let Killian and his family mistreat her by showing them she is nothing like the other Rigelhofs. As she plans her escape while occasionally flirting with the endearingly distrustful Killian, she vows that her reincarnation story will be anything but typical.",https://cdn.myanimelist.net/images/manga/3/287292.jpg,7.82,115,"Apr  4, 2023 to Aug  26, 2025","Fantasy, Romance, Isekai, Villainess",https://myanimelist.net/manga/161994/Not_Your_Typical_Reincarnation_Story
170,Unlucky Mansion,"Until recently, Kang Eun Ju worked as a designer and had a roof over her head. But after being fired from her job and kicked out of her shared room on the same day, Eun Ju desperately searches online for new employment opportunities. She soon finds a job posting that would solve both of her problems. Seeing this as a lucky chance, she swiftly submits her application and is delighted to be called in for an interview.Once Eun Ju meets her potential employer, any prior excitement quickly fades. Kwak Woo Jin speaks to her in a condescending manner and pokes fun at her resume. Eun Ju is put off by his arrogant attitude, but in dire need of money and a residence, accepts the offered position. Bedeviled by an employer with unconventional demands and more tenants than she accounted for, Eun Ju begins her hapless days as the live-in caretaker at Woo Jin's unlucky mansion.",https://cdn.myanimelist.net/images/manga/2/204764.jpg,7.82,73,"May  19, 2016 to Jan  4, 2018","Comedy, Romance, Slice of Life",https://myanimelist.net/manga/111278/Unlucky_Mansion
171,Gilgamesh,"Tludia was on her way to become a Knight within the Order when she was unexpectedly kicked out for breaking too many weapons and—wait for it—eating too much. But that doesn't mean she should stand idly by when she witnesses an old man about to be attacked by a band of robbers. Luckily for her—because she was a second too late—the old man did not need saving. It's Tludia that needs saving. Much older than his appearance suggests, Tludia rekindles a long lost memory in him, and he decides to repay her for her efforts by finding a cure for her disease (with promises of food, of course). Thus begins their journey to bring life to one, and long-awaited peace to the other.(Source: Lezhin Entertainment)",https://cdn.myanimelist.net/images/manga/3/226439.jpg,7.82,129,"Aug  31, 2015 to Dec  11, 2017","Action, Adventure, Fantasy",https://myanimelist.net/manga/124145/Gilgamesh
172,My Life as an Internet Novel,"Every novel has the usual cast: a gorgeous heroine, handsome boys vying for her attention, and a homely best friend at the heroine's side. Dani, an ordinary student and avid reader of internet novels, is all too familiar with these tropes. But she never imagined that one day she'd wake up at the center of one herself! Her new fictional world is complete with a beautiful best friend named Yeoryung, and four impossibly good-looking boys who all happen to be in her class. Dani is determined to stay out of the way and not get involved in the twists and turns of the plot. But is she really just the sidekick—or is Dani actually the leading lady? Anything is possible in the world of a novel!(Source: Tappytoon)",https://cdn.myanimelist.net/images/manga/2/234083.jpg,7.82,Unknown,"Apr  1, 2019 to ?","Comedy, Romance, Isekai, Reverse Harem, School",https://myanimelist.net/manga/127559/My_Life_as_an_Internet_Novel
